handle,display_name,followers,bio,website,niche,claude_niche,claude_signals,claude_confidence,claude_reason
briannoonanofficial,Brian Noonan | Amazon Coach,21772,"Helping people master Amazon selling 
Former drug addict >> multiple 6-figure seller
500+ Happy students / 9-5 escapees
YouTube ▶ All about FBA ↓",https://www.noonanuniversity.com/BrianNoonan,amazon fba,Amazon FBA,"Practitioner-turned-educator: former seller now teaching others, Display name explicitly states 'Amazon Coach', Bio uses 'Helping people [achieve result]' framework, Social proof: '500+ Happy students' and 'multiple 6-figure seller', Link-in-bio routes to dedicated landing page (noonanuniversity.com), YouTube content channel supporting educational brand, 9-5 escapees signals transformation/result-based coaching",high,"Brian is a practitioner-turned-educator in the approved Amazon FBA niche with clear social proof, a coaching-focused brand, and a landing page link that aligns with the ICP criteria."
amzstarboy,Kerry Brown | Amazon FBM Coach,10822,"👨‍🌾Broke Farmboy ➡️ Top Amazon Consultant 🏆 
👨🏽‍🏫 300+ Students & Counting 📈 
Learn To Leverage Ai to sell on Amazon
👇🏾| Dm me “AMZ” to apply 👇🏾",https://calendly.com/kerrybrown/amzg,amazon fba,Amazon FBA,"Display name explicitly states 'Amazon FBM Coach', Practitioner-turned-educator narrative: 'Broke Farmboy ➡️ Top Amazon Consultant', Client count social proof: '300+ Students & Counting', CTA present: 'DM me AMZ to apply', Link-in-bio routes to Calendly application/booking page, Teaches AI-leveraged Amazon selling methodology",high,"Kerry Brown is a practitioner-turned-educator in the approved Amazon FBA niche with clear social proof (300+ students), a DM-based CTA, and a Calendly link routing to an application call, matching all ICP criteria."
amazonfbalikeaboss,SAMARA MICHAEL Amazon FBA Coach & Mentor,45564,"🚀 Trained 2000+ people (Amazon FBA)
💰 Build A Halal Business From Home 
📦 Generated 5M in sales  
💯 100% Success Rate 
👉 DM word ‘FBA’ to learn how ⤵️",https://wa.me/107798898901?countryName=US&countryCode=1&phoneNumber=07798898901,amazon fba,Amazon FBA,"2000+ people trained, 5M in sales generated as social proof, DM CTA with keyword 'FBA', positions as coach and mentor, teaches others to build FBA business, link routes to WhatsApp for direct consultation/sales",high,"Profile clearly fits the Amazon FBA coaching niche with strong social proof, a DM-based CTA, practitioner-turned-educator positioning, and no disqualifying factors present."
amazon.fba.coach,SANIA BILAL l Amazon Fba Mentor,18570,"❣️Helping women build Amazon income safely
No shortcuts. No guessing
Real(1:1 guidance)
Next FREE live Amazon FBA training April 1st👇",https://forms.gle/JUZYVmVGQxed62SH6,amazon fba,Amazon FBA,"Display name explicitly states 'Amazon Fba Mentor', Bio uses 'Helping [audience] [achieve result]' framework, Offers 1:1 guidance indicating coaching program, Free live training CTA with date, Link-in-bio routes to Google Form (application/registration form), Practitioner-turned-educator positioning implied",high,"Profile clearly matches the Amazon FBA approved niche with a practitioner-educator positioning, 1:1 coaching offer, free training CTA, and a Google Form link-in-bio, though it lacks explicit social proof metrics in the bio which slightly weakens the match."
camronjamesfba,Camron James,22273,"👨🏼 Husband + Outdoor Enthusiast
⭐️ $1.3M in my 1st year on Amazon 
⬇️ Book a 1 on 1 session here ⬇️",https://www.camronjames.com/work-with-me,amazon fba,Amazon FBA,"Social proof: $1.3M in first year on Amazon, CTA: Book a 1 on 1 session, Link-in-bio routes to work-with-me landing page, Practitioner-turned-educator implied by 1-on-1 coaching offer, No physical products or sponsorships indicated",high,"Camron James is an Amazon FBA practitioner with a strong revenue claim and a direct 1-on-1 coaching CTA linking to a work-with-me page, matching the ICP across niche, social proof, and offer type."
fulltimefba,Amazon FBA Stephen & Rebecca Smotherman,10628,We’ll teach you how to turn part-time hours into a full-time income with daily Amazon sales.💰👇🏻Click below for more info:,https://www.fulltimefba.com/links,amazon fba,Amazon FBA,"Practitioner-turned-educator teaching Amazon FBA, Bio implies teaching/education offer ('We'll teach you'), Promises specific result: full-time income from part-time hours, Link-in-bio routes to a hub/landing page (fulltimefba.com/links), Niche matches approved list (Amazon FBA)",medium,"Profile fits the Amazon FBA educator niche with a clear teaching offer and result promise, though bio lacks explicit social proof metrics and a direct CTA like 'DM me' or 'Apply', slightly weakening the match."
reezyresells,"Mike ""Reezy"" Rezendes II",93551,"👨‍🏫  Amazon Influencer Program
💰 20+ Years of Amazon Experience
🚀 Comment AIP to get started 
👇🏼 Join My Skool group",http://beacons.ai/reezyresells,amazon fba,Amazon FBA,"20+ years of Amazon experience (practitioner-turned-educator), References Skool group (paid or free community platform), CTA: 'Comment AIP to get started', Link-in-bio routes to beacons.ai (likely landing page or Skool group), Amazon Influencer Program coaching focus",medium,"Profile shows clear Amazon-focused educator with a Skool community and CTA, fitting the Amazon FBA approved niche, though bio lacks explicit social proof metrics like revenue or client count, slightly reducing confidence."
thesellercircle,Seller Circle | Amazon FBA & Wholesale #1,76971,"💵| We Teach You How to Sell on Amazon!
📦| FBA Leads, Ungates, Support & More
👨🏽‍💻| FREE WEBINAR, LEADS & TRAINING",https://linktr.ee/sellercircle,amazon fba,Amazon FBA,"teaches Amazon FBA selling, offers free webinar as CTA, mentions FBA leads and training, community/support model implied, link-in-bio routes to Linktree likely containing landing pages or offers",medium,"Profile teaches Amazon FBA and wholesale with a free webinar CTA and training offer, fitting the approved Amazon FBA niche, though bio lacks explicit social proof metrics or a clear 'I help' framework, slightly reducing confidence."
mike.j.elliott,Michael Elliott,23124,"📈$5+ Million in Sales on Amazon
🧙‍♂️I help people 1-1 generate $10k/month & beyond using my AI Amazon method
👇Learn How",https://www.fbaempires.com/amazon-fba,amazon fba,Amazon FBA,"Practitioner with $5M+ in Amazon sales (social proof), 1-on-1 coaching offer structure, Clear result metric: $10k/month, Uses AI-enhanced method as differentiator, Link-in-bio routes to dedicated landing page (fbaempires.com/amazon-fba), CTA present: 'Learn How' with downward arrow",high,"Michael Elliott is a practitioner-turned-educator in the approved Amazon FBA niche, offering 1-on-1 coaching with clear social proof, a specific income result promise, and a landing page link-in-bio."
theultimatefba,Jonny Paul | Amazon Private Label,14339,"💰8 Figures Sold on Amazon (PL)
🚨I Help Amazon Sellers Do This Too
🔮Ready to build a £10-30k/month PROFIT brand?
🚀 DM me ‘PL’ for Mentorship. Results 👇",http://www.theultimatefba.com,amazon fba,Amazon FBA,"8-figure sales result as social proof, I help Amazon sellers achieve similar results, Mentorship offer via DM ('DM me PL for Mentorship'), Specific income target: £10-30k/month profit, Link-in-bio routes to dedicated website/landing page, Practitioner-turned-educator with proven Amazon PL experience",high,"Profile clearly matches the Amazon FBA approved niche with strong coaching signals including social proof, a help-based value proposition, a DM CTA for mentorship, and a dedicated link-in-bio destination."
